#,app_name,category,developer,play_store_package_id,key_features,positioning_vs_blockchain
1,"Bitcoin.com Wallet: Buy, Sell",Other / Hybrid,Bitcoin.com Developer,com.bitcoin.mwallet,"bitcoin, Trusted by 70M+ Bitcoiners to manage, trade, and use Bitcoin (BTC) and Crypto","Bitcoin.com Wallet: Buy, Sell: general crypto app"
2,Ledger Wallet™ crypto app,DeFi / DEX Wallet,Ledger,com.ledger.live,"DeFi, NFT, All-in-one crypto wallet app: securely buy, grow & manage assets, NFTs & DeFi","Ledger Wallet™ crypto app: DeFi/Web3 emphasis, NFT support"
3,Coinomi: Crypto Bitcoin Wallet,Other / Hybrid,Coinomi,com.coinomi.wallet,"NFT, bitcoin, ethereum",Coinomi: Crypto Bitcoin Wallet: NFT support
4,MetaMask: Trade Crypto,Other / Hybrid,MetaMask Web3 Wallet,io.metamask,"Trade crypto easily with a fast, secure wallet",MetaMask: Trade Crypto: general crypto app
5,Base: formerly Coinbase Wallet,Other / Hybrid,Coinbase Wallet,org.toshi,"earn, Create, trade, earn & chat with the everything app from Base, It pays to be here",Base: formerly Coinbase Wallet: general crypto app
6,BlueWallet Bitcoin Wallet,Other / Hybrid,BlueWallet Services S. R. L.,io.bluewallet.bluewallet,"bitcoin, A Bitcoin and Lightning wallet focused on making Bitcoin fun and usable",BlueWallet Bitcoin Wallet: general crypto app
7,MEW crypto wallet: DeFi Web3,Other / Hybrid,MyEtherWallet,com.myetherwallet.mewwallet,"NFT, web3, ethereum","MEW crypto wallet: DeFi Web3: DeFi/Web3 emphasis, NFT support"
8,Guarda: Crypto Bitcoin Wallet,Centralized Exchange (CEX),GUARDA,com.crypto.multiwallet,"Secure wallet for BTC, ETH, DOGE, SOL& 10K+ tokens, Buy, exchange, stake crypto",Guarda: Crypto Bitcoin Wallet: general crypto app
9,Coinbase: Buy Crypto & Stocks,Other / Hybrid,Coinbase Inc,com.coinbase.android,"earn, ethereum, solana, rewards",Coinbase: Buy Crypto & Stocks: general crypto app
10,Solflare - Solana Wallet,DeFi / DEX Wallet,Solrise Research Ltd,com.solflare.mobile,"DeFi, solana, Securely manage meme coins, stake crypto and explore DeFi on Solana blockchain",Solflare - Solana Wallet: DeFi/Web3 emphasis
11,YouHodler: BTC & Crypto Wallet,Centralized Exchange (CEX),YouHodler,com.youhodler.youhodler,"bitcoin, Secure Crypto Exchange & Bitcoin Wallet: Buy BTC, ETH, USDT",YouHodler: BTC & Crypto Wallet: general crypto app
12,"Bridge Wallet: Bitcoin, crypto",Other / Hybrid,Mt Pelerin Group SA,com.mtpelerin.bridge,The Swiss app to invest in crypto the easy way,"Bridge Wallet: Bitcoin, crypto: beginner-friendly"
13,"Bitget Wallet: Crypto, Bitcoin",DeFi / DEX Wallet,Bitget Wallet,com.bitkeep.wallet,"DeFi, web3, Web3 wallet for crypto & DeFi","Bitget Wallet: Crypto, Bitcoin: DeFi/Web3 emphasis"
14,Crypto.com: Onchain Wallet,Self-Custody Wallet,Crypto.com Onchain Wallet,com.defi.wallet,"self-custody, DeFi, Securely trade & stake 1000s of crypto, explore DeFi with a self-custody wallet","Crypto.com: Onchain Wallet: self-custody focus, DeFi/Web3 emphasis"
15,Exodus: Crypto Bitcoin Wallet,Other / Hybrid,"Exodus Movement, Inc.",exodusmovement.exodus,"Secure crypto wallet, Buy, send & manage BTC, ETH, USDT and more in one wallet",Exodus: Crypto Bitcoin Wallet: general crypto app
16,Trust: Crypto & Bitcoin Wallet,Self-Custody Wallet,"DApps Platform, Inc.",com.wallet.crypto.trustapp,"self-custody, earn, swap, multi-chain",Trust: Crypto & Bitcoin Wallet: self-custody focus
17,Rabby Wallet - Crypto & EVM,DeFi / DEX Wallet,OPCODE LABS,com.debank.rabbymobile,"DeFi, NFT, web3","Rabby Wallet - Crypto & EVM: DeFi/Web3 emphasis, NFT support"
18,Enjin: Crypto & NFT Wallet,Other / Hybrid,Enjin Pte. Ltd.,com.enjin.mobile.wallet,"NFT, Secure & Trustworthy - Store, Buy & Sell NFTs, BTC, ETH, LTC, DOGE & More",Enjin: Crypto & NFT Wallet: NFT support
19,MyTonWallet • TON Wallet,Other / Hybrid,MyTonWallet,org.mytonwallet.app,"solana, 🦄 Safe and powerful wallet for TON, TRON and Solana",MyTonWallet • TON Wallet: general crypto app
